year,quarter,district_code,district_name,neighborhood_code,neighborhood_name,euros_month,euros_m2_month,num_agreements
2018,3,10,Sant Martí,70,el Besòs i el Maresme,699.06,11.11,109
2018,3,10,Sant Martí,71,Provençals del Poblenou,928.02,13.88,118
2018,3,10,Sant Martí,72,Sant Martí de Provençals,803.49,11.75,113
2018,3,10,Sant Martí,73,la Verneda i la Pau,767.1,11.42,98
2018,4,1,Ciutat Vella,1,el Raval,827.27,14.07,478
2018,4,1,Ciutat Vella,2,el Barri Gòtic,1057.26,14.1,265
2018,4,1,Ciutat Vella,3,la Barceloneta,913.2,17.41,101
2018,4,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1000.52,15.2,349
2018,4,2,Eixample,5,el Fort Pienc,983.1,13.61,261
2018,4,2,Eixample,6,la Sagrada Família,930.02,14.05,506
2018,4,2,Eixample,7,la Dreta de l'Eixample,1340.38,14.44,584
2018,4,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1164.32,14.37,568
2018,4,2,Eixample,9,la Nova Esquerra de l'Eixample,1017.56,14.12,618
2018,4,2,Eixample,10,Sant Antoni,960.3,13.49,357
2018,4,3,Sants-Montjuïc,11,el Poble Sec,813.74,14.02,375
2018,4,3,Sants-Montjuïc,13,la Marina de Port,778.52,11.1,118
2018,4,3,Sants-Montjuïc,14,la Font de la Guatlla,810.24,12.13,86
